ma_san_pham,ten_san_pham,gia_ban,gia_goc,hinh_anh
318900012,Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,218000,435000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-hoa-hong-khong-mui-klairs-danh-cho-da-nhay-cam-180ml_mcaFpgMJ17XnfQwS_img_380x380_64adc6_fit_center.png
422208973,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 473ml,338000,455000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-473ml_F3veHtHbLGAzic6q_img_380x380_64adc6_fit_center.png
205100137,Nước Tẩy Trang L,138000,229000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml_HJVmWUwDYaaTCHbu_img_380x380_64adc6_fit_center.png
253900006,Kem Chống Nắng Skin1004 Cho Da Nhạy Cảm SPF 50+ 50ml,218000,445000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-skin1004-chiet-xuat-rau-ma-spf50-pa-50ml_nRSX8RyUGqKQ52H5_img_380x380_64adc6_fit_center.png
422218358,Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml (Bản Mới 2024),534000,715000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-anessa-duong-da-kiem-dau-60ml-moi_q7EJL6Wmr3FMStaB_img_380x380_64adc6_fit_center.png
200400003,Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 500ml,360000,525000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-bioderma-danh-cho-da-nhay-cam-500ml-1716538823_img_380x380_64adc6_fit_center.jpg
422218359,Sữa Chống Nắng Anessa Cho Da Nhạy Cảm & Trẻ Em 60ml (Mới),534000,715000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-anessa-cho-da-nhay-cam-tre-em-60ml-moi_Wxfmc6qGQzawSGyL_img_380x380_64adc6_fit_center.png
200400004,Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 500ml,360000,525000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-bioderma-danh-cho-da-dau-hon-hop-500ml-1690274181_img_380x380_64adc6_fit_center.jpg
204900013,Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,353000,560000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-la-roche-posay-kiem-soat-dau-spf50-50ml_nVWnzTUNWC5NJ3W5_img_380x380_64adc6_fit_center.png
422208972,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 236ml,266000,340000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-236ml_p2CE4j6gsNau22kU_img_380x380_64adc6_fit_center.png
422221764,Serum La Roche-Posay Giảm Thâm Nám & Dưỡng Sáng Da 30ml,919000,1300000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-la-roche-posay-giam-tham-nam-duong-sang-da-30ml_zmW2h7gYSZUSzPFt_img_380x380_64adc6_fit_center.png
422204884,Combo 2 Nước Tẩy Trang Bí Đao Cocoon Làm Sạch & Giảm Dầu 500ml,400000,590000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422204884-1689925661_img_380x380_64adc6_fit_center.png
422209322,Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 500ml (Mới),299000,419000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cetaphil-diu-nhe-khong-xa-phong-500ml-moi_V3B4eNBAnGVBno3E_img_380x380_64adc6_fit_center.png
422211240,Kem Dưỡng La Roche-Posay Giúp Phục Hồi Da Đa Công Dụng 40ml,269000,410000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-la-roche-posay-giup-phuc-hoi-da-da-cong-dung-40ml_EgrWynxZmHsH9Pqg_img_380x380_64adc6_fit_center.png
205100146,Nước Tẩy Trang L,168000,269000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-l-oreal-3-in-1-lam-sach-sau-400ml_9wQ2CKv7YaUABiQL_img_380x380_64adc6_fit_center.png
204900024,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml,349000,525000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-400ml_qMX1b1HAWGiZZ4qW_img_380x380_64adc6_fit_center.png
